job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI06665,Machine Learning Engineer,149054,USD,MI,FT,Switzerland,L,Switzerland,50,"Hadoop, Deep Learning, Kubernetes",Bachelor,3,Finance,2024-11-25,2025-01-24,981,7.9,Cognitive Computing
AI14009,Machine Learning Engineer,213403,USD,SE,PT,Norway,L,Norway,100,"PyTorch, Docker, Spark",Master,8,Real Estate,2025-04-26,2025-06-17,2453,7.7,Advanced Robotics
AI09012,Head of AI,55161,USD,EN,FT,South Korea,M,South Korea,50,"Hadoop, Azure, MLOps, R, Deep Learning",PhD,1,Media,2024-11-27,2025-01-17,1533,6.3,Advanced Robotics
AI06602,Machine Learning Researcher,87202,USD,SE,CT,Finland,S,Ireland,50,"Statistics, Azure, Linux",Bachelor,9,Healthcare,2025-03-10,2025-05-10,1618,9.0,TechCorp Inc
AI03104,ML Ops Engineer,57637,EUR,EN,PT,Germany,S,Germany,50,"Deep Learning, NLP, Linux",PhD,0,Government,2024-04-27,2024-06-27,1388,5.8,DeepTech Ventures
AI07097,Data Engineer,156656,USD,SE,FL,Australia,L,Australia,0,"Java, Scala, Python",Bachelor,8,Government,2024-04-03,2024-05-03,1986,5.3,AI Innovations
AI02972,Machine Learning Researcher,128928,USD,SE,PT,Canada,L,Ireland,100,"AWS, Java, Git, Tableau, R",Bachelor,6,Telecommunications,2024-09-12,2024-11-22,1021,8.5,Smart Analytics
AI09150,Research Scientist,123429,USD,MI,FL,Denmark,M,Japan,100,"SQL, Scala, Spark",PhD,2,Government,2024-03-05,2024-04-27,2284,9.8,Algorithmic Solutions
AI00418,Research Scientist,182777,USD,SE,FL,Norway,M,Norway,50,"Kubernetes, Spark, PyTorch",PhD,6,Consulting,2025-01-31,2025-04-02,2238,5.8,Predictive Systems
AI07775,AI Software Engineer,123362,USD,MI,FT,Sweden,L,Sweden,0,"Tableau, Data Visualization, Git, Python",Bachelor,2,Automotive,2025-03-20,2025-05-21,2020,8.4,TechCorp Inc
AI11017,Principal Data Scientist,41013,USD,EN,FT,China,S,China,100,"Computer Vision, SQL, Python",PhD,1,Education,2024-04-10,2024-06-22,1412,8.0,Autonomous Tech
AI04264,AI Research Scientist,142644,EUR,SE,FL,Germany,L,Germany,0,"Python, Spark, Linux, NLP",PhD,9,Finance,2024-10-27,2024-11-28,1025,8.3,Advanced Robotics
AI03041,Deep Learning Engineer,223093,USD,EX,PT,Singapore,S,Singapore,0,"Azure, Scala, NLP, TensorFlow, PyTorch",Master,17,Transportation,2024-12-05,2024-12-23,685,9.8,TechCorp Inc
AI08031,Autonomous Systems Engineer,82938,USD,SE,FL,Austria,M,Austria,100,"TensorFlow, Python, NLP",Master,6,Technology,2024-03-24,2024-04-22,1539,8.6,Smart Analytics
AI07576,NLP Engineer,113376,EUR,SE,CT,Netherlands,M,Netherlands,100,"R, SQL, Data Visualization, Deep Learning, Azure",PhD,9,Retail,2025-02-21,2025-04-01,1748,9.6,Machine Intelligence Group
AI09079,Head of AI,229055,USD,EX,PT,Denmark,M,Denmark,0,"Java, Python, MLOps, Kubernetes, Docker",Bachelor,15,Automotive,2024-09-03,2024-09-24,1538,7.6,Autonomous Tech
AI08848,AI Research Scientist,39897,USD,EN,CT,Japan,M,Japan,50,"Java, MLOps, Tableau",PhD,1,Retail,2024-09-16,2024-10-15,664,6.3,TechCorp Inc
AI10544,ML Ops Engineer,146269,EUR,EX,CT,Germany,M,Germany,100,"Kubernetes, Statistics, Python, Linux",Bachelor,10,Finance,2024-09-25,2024-10-31,1010,6.5,DataVision Ltd
AI07999,Autonomous Systems Engineer,53110,USD,EN,FL,Sweden,M,Singapore,50,"Hadoop, SQL, Data Visualization, PyTorch",PhD,1,Consulting,2024-07-27,2024-08-19,2030,8.8,Quantum Computing Inc
AI13639,Computer Vision Engineer,101785,USD,EN,CT,Norway,M,Norway,0,"Python, Azure, Deep Learning, Mathematics",Master,0,Energy,2025-03-27,2025-05-16,2278,6.0,Predictive Systems
